Year,Student Name,School,Class,Subject,Prelim Result,PSLE Result
2022,Nur Aisyah 397,Princess Elizabeth Primary School,P6-1,Foundation Malay Language,55/100,56/100
2022,Priya D/O Kumar 353,Henry Park Primary School,P6-1,Higher Tamil Language,79/100,82/100
2024,Goh Jun Wei 102,Rosyth School,P6-3,Chinese Language,55/100,52/100
2022,Chua Kai Wen 691,Pei Hwa Presbyterian Primary School,P6-3,Foundation Chinese Language,93/100,96/100
2022,Karthik S/O Ramesh 268,West Grove Primary School,P6-1,Higher Tamil Language,69/100,64/100
2024,Chen Qi En 213,Anglo-Chinese School (Primary),P6-2,Foundation Chinese Language,60/100,59/100
2024,Muhd Irfan 528,Rosyth School,P6-1,Foundation Malay Language,62/100,61/100
2022,Muhd Irfan 118,Princess Elizabeth Primary School,P6-1,Higher Malay Language,79/100,75/100
2022,Mohammad Firdaus 650,West Grove Primary School,P6-1,Malay Language,94/100,92/100
2022,Wong Yu Ting 948,Temasek Primary School,P6-1,Chinese Language,90/100,85/100
2023,Ong Shu Fen 643,Tao Nan School,P6-1,Chinese Language,63/100,60/100
2022,Anand S/O Murugan 239,Pei Chun Public School,P6-3,Tamil Language,94/100,95/100
2023,Mohammad Firdaus 954,Anglo-Chinese School (Primary),P6-2,Higher Malay Language,66/100,65/100
2024,Mohammad Firdaus 357,Raffles Girls' Primary School,P6-1,Malay Language,77/100,76/100
2023,Ainul Zafira 212,Catholic High School (Primary),P6-1,Higher Malay Language,74/100,75/100
2024,Hafiz Bin Rahman 453,Princess Elizabeth Primary School,P6-1,Malay Language,59/100,62/100
2024,Karthik S/O Ramesh 782,Red Swastika School,P6-3,Foundation Tamil Language,68/100,63/100
2024,Nur Aisyah 954,Temasek Primary School,P6-3,Higher Malay Language,84/100,81/100
2024,Meena D/O Ravi 424,Catholic High School (Primary),P6-2,Higher Tamil Language,78/100,78/100
2022,Meena D/O Ravi 503,Henry Park Primary School,P6-1,Tamil Language,69/100,66/100
2024,Ong Shu Fen 427,Princess Elizabeth Primary School,P6-3,Chinese Language,68/100,71/100
2022,Lakshmi D/O Kumar 922,St Joseph’s Institution Junior,P6-2,Foundation Tamil Language,84/100,83/100
2022,Priya D/O Kumar 699,Anglo-Chinese School (Primary),P6-2,Higher Tamil Language,92/100,94/100
2022,Deepa D/O Muthu 919,Nanyang Primary School,P6-3,Higher Tamil Language,63/100,60/100
2023,Ainul Zafira 487,Gongshang Primary School,P6-3,Malay Language,76/100,81/100
2022,Anand S/O Murugan 959,Anglo-Chinese School (Primary),P6-1,Foundation Tamil Language,62/100,58/100
2022,Lim Jia Hao 924,Pei Hwa Presbyterian Primary School,P6-3,Chinese Language,86/100,82/100
2023,Anand S/O Murugan 583,Ai Tong School,P6-1,Tamil Language,65/100,65/100
2022,Priya D/O Kumar 822,Gongshang Primary School,P6-3,Higher Tamil Language,68/100,72/100
2022,Priya D/O Kumar 631,Pei Chun Public School,P6-1,Tamil Language,67/100,64/100
2023,Wong Yu Ting 605,Gongshang Primary School,P6-3,Higher Chinese Language,82/100,78/100
2023,Anand S/O Murugan 932,Gongshang Primary School,P6-1,Higher Tamil Language,53/100,57/100
2024,Vignesh S/O Rajan 752,Pei Hwa Presbyterian Primary School,P6-1,Tamil Language,68/100,72/100
2022,Ahmad Hakim 376,Henry Park Primary School,P6-2,Malay Language,57/100,53/100
2022,Sivakumar Raj 715,Catholic High School (Primary),P6-3,Higher Tamil Language,84/100,79/100
2022,Meena D/O Ravi 636,Pei Chun Public School,P6-3,Higher Tamil Language,92/100,87/100
2023,Meena D/O Ravi 373,Pei Chun Public School,P6-3,Higher Tamil Language,77/100,75/100
2023,Ainul Zafira 949,CHIJ St Nicholas Girls’ School,P6-1,Malay Language,77/100,76/100
2023,Sivakumar Raj 313,Raffles Girls' Primary School,P6-3,Higher Tamil Language,83/100,85/100
2023,Karthik S/O Ramesh 829,Temasek Primary School,P6-1,Foundation Tamil Language,66/100,64/100
2023,Imran Bin Azmi 350,Raffles Girls' Primary School,P6-1,Higher Malay Language,68/100,66/100
2023,Lee Hui Min 808,Anglo-Chinese School (Primary),P6-3,Foundation Chinese Language,80/100,84/100
2023,Ahmad Hakim 557,Temasek Primary School,P6-3,Higher Malay Language,59/100,57/100
2024,Muhd Irfan 531,Ai Tong School,P6-3,Foundation Malay Language,65/100,65/100
2024,Muhd Irfan 898,Pei Hwa Presbyterian Primary School,P6-2,Higher Malay Language,75/100,78/100
2023,Lakshmi D/O Kumar 624,Red Swastika School,P6-3,Tamil Language,89/100,86/100
2022,Chen Qi En 105,CHIJ St Nicholas Girls’ School,P6-2,Foundation Chinese Language,89/100,92/100
2024,Sivakumar Raj 911,Catholic High School (Primary),P6-1,Higher Tamil Language,70/100,66/100
2023,Suresh S/O Raj 371,Gongshang Primary School,P6-2,Foundation Tamil Language,78/100,82/100
2022,Sivakumar Raj 824,Pei Hwa Presbyterian Primary School,P6-3,Higher Tamil Language,71/100,76/100
2023,Nurul Huda 332,Raffles Girls' Primary School,P6-1,Malay Language,67/100,71/100
2022,Nur Aisyah 104,Nan Hua Primary School,P6-2,Foundation Malay Language,70/100,66/100
2022,Ong Shu Fen 285,Ai Tong School,P6-1,Chinese Language,76/100,76/100
2022,Aqil Zulkarnain 297,Pei Hwa Presbyterian Primary School,P6-3,Malay Language,51/100,56/100
2023,Tan Wei Ling 139,Raffles Girls' Primary School,P6-1,Foundation Chinese Language,59/100,55/100
2022,Hafiz Bin Rahman 348,CHIJ St Nicholas Girls’ School,P6-1,Higher Malay Language,61/100,65/100
2022,Chua Kai Wen 230,Pei Chun Public School,P6-1,Higher Chinese Language,90/100,86/100
2022,Vignesh S/O Rajan 823,Nan Hua Primary School,P6-1,Tamil Language,61/100,61/100
2024,Wong Yu Ting 809,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,93/100,93/100
2024,Arunasarawasthy 422,Yumin Primary School,P6-3,Foundation Tamil Language,53/100,55/100
2023,Goh Jun Wei 916,Rosyth School,P6-3,Higher Chinese Language,95/100,92/100
2023,Lim Jia Hao 723,Catholic High School (Primary),P6-3,Higher Chinese Language,55/100,52/100
2022,Imran Bin Azmi 305,Maris Stella Primary School,P6-1,Malay Language,68/100,73/100
2022,Ahmad Hakim 622,Ai Tong School,P6-1,Foundation Malay Language,78/100,77/100
2024,Chen Qi En 183,Yumin Primary School,P6-1,Foundation Chinese Language,77/100,74/100
2022,Arunasarawasthy 998,CHIJ St Nicholas Girls’ School,P6-3,Higher Tamil Language,77/100,77/100
2022,Goh Jun Wei 772,Tao Nan School,P6-1,Higher Chinese Language,84/100,85/100
2022,Nur Aisyah 464,Tao Nan School,P6-3,Foundation Malay Language,53/100,55/100
2022,Ahmad Hakim 864,Catholic High School (Primary),P6-3,Foundation Malay Language,92/100,96/100
2023,Ong Shu Fen 540,Ai Tong School,P6-3,Foundation Chinese Language,57/100,58/100
2024,Priya D/O Kumar 697,Ai Tong School,P6-1,Foundation Tamil Language,75/100,70/100
2023,Siti Aminah 279,Henry Park Primary School,P6-2,Foundation Malay Language,74/100,74/100
2023,Ainul Zafira 991,Rosyth School,P6-1,Higher Malay Language,86/100,90/100
2023,Siti Aminah 943,Rosyth School,P6-3,Malay Language,88/100,88/100
2023,Ng Zi Xuan 209,St Joseph’s Institution Junior,P6-2,Foundation Chinese Language,66/100,70/100
2022,Ong Shu Fen 728,CHIJ St Nicholas Girls’ School,P6-3,Foundation Chinese Language,78/100,77/100
2023,Nur Aisyah 967,CHIJ St Nicholas Girls’ School,P6-2,Foundation Malay Language,64/100,68/100
2023,Deepa D/O Muthu 446,Ai Tong School,P6-1,Tamil Language,73/100,75/100
2022,Ainul Zafira 686,Temasek Primary School,P6-2,Higher Malay Language,67/100,65/100
2022,Tan Wei Ling 227,West Grove Primary School,P6-2,Foundation Chinese Language,83/100,78/100
2023,Deepa D/O Muthu 467,Anglo-Chinese School (Primary),P6-1,Higher Tamil Language,58/100,62/100
2022,Arunasarawasthy 229,St Joseph’s Institution Junior,P6-2,Tamil Language,86/100,86/100
2024,Karthik S/O Ramesh 155,Princess Elizabeth Primary School,P6-1,Tamil Language,75/100,79/100
2023,Priya D/O Kumar 634,Rosyth School,P6-2,Foundation Tamil Language,69/100,69/100
2022,Tan Wei Ling 630,Gongshang Primary School,P6-2,Foundation Chinese Language,62/100,57/100
2023,Ahmad Hakim 212,Raffles Girls' Primary School,P6-1,Higher Malay Language,90/100,94/100
2023,Vignesh S/O Rajan 168,Gongshang Primary School,P6-2,Tamil Language,87/100,87/100
2022,Teo Wen Jie 100,Pei Chun Public School,P6-1,Higher Chinese Language,87/100,84/100
2023,Chen Qi En 542,St Joseph’s Institution Junior,P6-2,Chinese Language,55/100,52/100
2023,Lee Hui Min 714,Rosyth School,P6-2,Chinese Language,72/100,77/100
2022,Deepa D/O Muthu 839,Rosyth School,P6-2,Higher Tamil Language,89/100,85/100
2024,Suresh S/O Raj 472,Raffles Girls' Primary School,P6-2,Higher Tamil Language,76/100,73/100
2022,Lim Jia Hao 904,Anglo-Chinese School (Primary),P6-1,Chinese Language,62/100,57/100
2023,Muhd Irfan 798,West Grove Primary School,P6-1,Malay Language,83/100,85/100
2022,Sivakumar Raj 722,Nan Hua Primary School,P6-1,Higher Tamil Language,81/100,80/100
2024,Deepa D/O Muthu 287,Rosyth School,P6-3,Higher Tamil Language,50/100,45/100
2022,Sivakumar Raj 769,Pei Hwa Presbyterian Primary School,P6-1,Tamil Language,94/100,96/100
2023,Karthik S/O Ramesh 984,Nanyang Primary School,P6-2,Tamil Language,75/100,78/100
2022,Anand S/O Murugan 876,Raffles Girls' Primary School,P6-1,Higher Tamil Language,82/100,79/100
2024,Ng Zi Xuan 894,Anglo-Chinese School (Primary),P6-2,Higher Chinese Language,85/100,88/100
2022,Lakshmi D/O Kumar 141,Nan Hua Primary School,P6-2,Tamil Language,64/100,64/100
2024,Karthik S/O Ramesh 351,Catholic High School (Primary),P6-3,Tamil Language,95/100,94/100
2024,Meena D/O Ravi 405,Raffles Girls' Primary School,P6-3,Foundation Tamil Language,91/100,89/100
2022,Lim Jia Hao 190,Nanyang Primary School,P6-2,Foundation Chinese Language,91/100,91/100
2023,Aqil Zulkarnain 662,West Grove Primary School,P6-3,Foundation Malay Language,91/100,88/100
2024,Chua Kai Wen 605,Rosyth School,P6-1,Higher Chinese Language,80/100,76/100
2024,Lee Hui Min 931,Nanyang Primary School,P6-2,Higher Chinese Language,68/100,63/100
2023,Mohammad Firdaus 202,Temasek Primary School,P6-2,Foundation Malay Language,73/100,68/100
2023,Lee Hui Min 513,Ai Tong School,P6-2,Chinese Language,56/100,57/100
2023,Imran Bin Azmi 321,Pei Chun Public School,P6-3,Higher Malay Language,84/100,82/100
2023,Lee Hui Min 681,Ai Tong School,P6-1,Chinese Language,54/100,53/100
2023,Ahmad Hakim 774,Tao Nan School,P6-2,Foundation Malay Language,94/100,89/100
2022,Wong Yu Ting 337,Pei Hwa Presbyterian Primary School,P6-1,Chinese Language,70/100,70/100
2024,Priya D/O Kumar 658,Pei Hwa Presbyterian Primary School,P6-3,Foundation Tamil Language,67/100,71/100
2023,Imran Bin Azmi 728,Pei Hwa Presbyterian Primary School,P6-3,Malay Language,58/100,53/100
2023,Suresh S/O Raj 617,Princess Elizabeth Primary School,P6-1,Higher Tamil Language,64/100,65/100
2023,Suresh S/O Raj 399,Raffles Girls' Primary School,P6-3,Higher Tamil Language,84/100,81/100
2024,Mohammad Firdaus 815,Gongshang Primary School,P6-2,Malay Language,57/100,55/100
2024,Suresh S/O Raj 888,Ai Tong School,P6-2,Higher Tamil Language,95/100,96/100
2023,Ong Shu Fen 758,Henry Park Primary School,P6-3,Chinese Language,62/100,63/100
2024,Meena D/O Ravi 372,Raffles Girls' Primary School,P6-1,Tamil Language,64/100,69/100
2023,Priya D/O Kumar 784,Yumin Primary School,P6-2,Tamil Language,95/100,91/100
2022,Hafiz Bin Rahman 651,Pei Chun Public School,P6-3,Foundation Malay Language,78/100,83/100
2022,Wong Yu Ting 297,Temasek Primary School,P6-2,Higher Chinese Language,86/100,85/100
2022,Suresh S/O Raj 314,Nanyang Primary School,P6-2,Higher Tamil Language,87/100,85/100
2023,Muhd Irfan 645,Catholic High School (Primary),P6-1,Malay Language,78/100,77/100
2024,Ng Zi Xuan 124,West Grove Primary School,P6-2,Higher Chinese Language,74/100,73/100
2023,Nurul Huda 932,Catholic High School (Primary),P6-2,Malay Language,75/100,77/100
2022,Lakshmi D/O Kumar 603,Tao Nan School,P6-2,Tamil Language,65/100,68/100
2022,Ong Shu Fen 267,Temasek Primary School,P6-3,Chinese Language,71/100,67/100
2023,Priya D/O Kumar 605,Red Swastika School,P6-3,Tamil Language,59/100,61/100
2022,Sivakumar Raj 319,Princess Elizabeth Primary School,P6-2,Tamil Language,72/100,77/100
2023,Muhd Irfan 990,Raffles Girls' Primary School,P6-3,Higher Malay Language,94/100,97/100
2023,Arunasarawasthy 604,Temasek Primary School,P6-2,Foundation Tamil Language,51/100,47/100
2024,Ainul Zafira 195,Pei Hwa Presbyterian Primary School,P6-2,Malay Language,81/100,80/100
2024,Deepa D/O Muthu 514,Temasek Primary School,P6-2,Foundation Tamil Language,75/100,72/100
2022,Chen Qi En 280,Raffles Girls' Primary School,P6-1,Higher Chinese Language,56/100,55/100
2023,Imran Bin Azmi 617,Ai Tong School,P6-2,Malay Language,89/100,85/100
2022,Muhd Irfan 831,Tao Nan School,P6-3,Malay Language,56/100,58/100
2024,Imran Bin Azmi 208,Maris Stella Primary School,P6-2,Higher Malay Language,93/100,95/100
2022,Hafiz Bin Rahman 113,Catholic High School (Primary),P6-2,Malay Language,51/100,51/100
2022,Ng Zi Xuan 343,Ai Tong School,P6-2,Foundation Chinese Language,66/100,61/100
2023,Anand S/O Murugan 614,Pei Chun Public School,P6-2,Foundation Tamil Language,69/100,65/100
2023,Ainul Zafira 220,Nanyang Primary School,P6-2,Higher Malay Language,65/100,70/100
2023,Sivakumar Raj 308,Princess Elizabeth Primary School,P6-1,Tamil Language,62/100,59/100
2023,Hafiz Bin Rahman 426,Pei Hwa Presbyterian Primary School,P6-3,Malay Language,67/100,65/100
2024,Imran Bin Azmi 218,Nan Hua Primary School,P6-2,Higher Malay Language,85/100,90/100
2023,Ainul Zafira 257,Temasek Primary School,P6-1,Higher Malay Language,56/100,55/100
2022,Chua Kai Wen 305,St Joseph’s Institution Junior,P6-1,Chinese Language,85/100,85/100
2022,Goh Jun Wei 137,Tao Nan School,P6-2,Foundation Chinese Language,91/100,95/100
2024,Karthik S/O Ramesh 183,Nanyang Primary School,P6-1,Higher Tamil Language,54/100,52/100
2024,Ahmad Hakim 589,Red Swastika School,P6-1,Malay Language,73/100,73/100
2022,Vignesh S/O Rajan 273,Tao Nan School,P6-1,Higher Tamil Language,56/100,60/100
2023,Muhd Irfan 599,Red Swastika School,P6-3,Higher Malay Language,87/100,88/100
2024,Deepa D/O Muthu 737,Pei Chun Public School,P6-2,Higher Tamil Language,93/100,97/100
2023,Chen Qi En 847,West Grove Primary School,P6-3,Foundation Chinese Language,73/100,68/100
2022,Lakshmi D/O Kumar 723,Pei Chun Public School,P6-1,Foundation Tamil Language,88/100,86/100
2023,Aqil Zulkarnain 789,St Joseph’s Institution Junior,P6-1,Foundation Malay Language,56/100,61/100
2024,Tan Wei Ling 601,Henry Park Primary School,P6-3,Higher Chinese Language,78/100,83/100
2023,Mohammad Firdaus 717,St Joseph’s Institution Junior,P6-2,Malay Language,66/100,68/100
2022,Muhd Irfan 253,Yumin Primary School,P6-2,Higher Malay Language,68/100,68/100
2023,Ahmad Hakim 100,Ai Tong School,P6-1,Malay Language,78/100,79/100
2023,Hafiz Bin Rahman 579,Pei Chun Public School,P6-1,Foundation Malay Language,74/100,79/100
2023,Ainul Zafira 532,Red Swastika School,P6-1,Foundation Malay Language,53/100,54/100
2022,Lim Jia Hao 882,Nanyang Primary School,P6-2,Chinese Language,56/100,58/100
2022,Mohammad Firdaus 324,Ai Tong School,P6-2,Malay Language,52/100,55/100
2024,Ong Shu Fen 552,Red Swastika School,P6-3,Chinese Language,81/100,78/100
2023,Ng Zi Xuan 283,Red Swastika School,P6-2,Foundation Chinese Language,83/100,81/100
2024,Meena D/O Ravi 276,Catholic High School (Primary),P6-3,Foundation Tamil Language,75/100,79/100
2022,Siti Aminah 699,Henry Park Primary School,P6-1,Malay Language,71/100,67/100
2024,Nurul Huda 957,St Joseph’s Institution Junior,P6-1,Foundation Malay Language,57/100,59/100
2023,Anand S/O Murugan 650,Red Swastika School,P6-3,Foundation Tamil Language,80/100,82/100
2022,Teo Wen Jie 854,Rosyth School,P6-1,Higher Chinese Language,64/100,59/100
2022,Chua Kai Wen 243,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,75/100,75/100
2022,Meena D/O Ravi 203,Tao Nan School,P6-2,Tamil Language,86/100,82/100
2022,Muhd Irfan 198,West Grove Primary School,P6-2,Foundation Malay Language,63/100,59/100
2024,Ong Shu Fen 539,Princess Elizabeth Primary School,P6-3,Foundation Chinese Language,77/100,80/100
2023,Lim Jia Hao 291,Red Swastika School,P6-1,Foundation Chinese Language,62/100,67/100
2022,Ahmad Hakim 323,Princess Elizabeth Primary School,P6-3,Foundation Malay Language,61/100,63/100
2022,Nur Aisyah 279,Ai Tong School,P6-3,Malay Language,88/100,92/100
2022,Aqil Zulkarnain 368,West Grove Primary School,P6-2,Malay Language,52/100,48/100
2024,Ahmad Hakim 609,Temasek Primary School,P6-1,Higher Malay Language,78/100,73/100
2022,Mohammad Firdaus 504,Gongshang Primary School,P6-1,Malay Language,79/100,82/100
2023,Aqil Zulkarnain 445,Nanyang Primary School,P6-1,Higher Malay Language,65/100,63/100
2023,Nurul Huda 299,Tao Nan School,P6-2,Foundation Malay Language,60/100,62/100
2023,Chua Kai Wen 455,St Joseph’s Institution Junior,P6-2,Chinese Language,74/100,79/100
2022,Aqil Zulkarnain 652,Anglo-Chinese School (Primary),P6-2,Higher Malay Language,80/100,84/100
2022,Lee Hui Min 675,Catholic High School (Primary),P6-1,Foundation Chinese Language,79/100,81/100
2023,Ng Zi Xuan 142,West Grove Primary School,P6-3,Higher Chinese Language,60/100,57/100
2024,Vignesh S/O Rajan 337,Maris Stella Primary School,P6-3,Foundation Tamil Language,93/100,88/100
2023,Imran Bin Azmi 260,Nan Hua Primary School,P6-2,Malay Language,57/100,55/100
2022,Hafiz Bin Rahman 646,Anglo-Chinese School (Primary),P6-3,Foundation Malay Language,66/100,68/100
2023,Vignesh S/O Rajan 497,Anglo-Chinese School (Primary),P6-2,Tamil Language,57/100,62/100
2023,Meena D/O Ravi 419,Rosyth School,P6-1,Tamil Language,51/100,48/100
2023,Wong Yu Ting 201,Red Swastika School,P6-3,Higher Chinese Language,69/100,69/100
2023,Anand S/O Murugan 602,Henry Park Primary School,P6-3,Higher Tamil Language,51/100,55/100
2023,Lee Hui Min 738,Princess Elizabeth Primary School,P6-3,Foundation Chinese Language,55/100,53/100
2023,Ong Shu Fen 624,Tao Nan School,P6-3,Chinese Language,73/100,71/100
2024,Sivakumar Raj 762,Gongshang Primary School,P6-3,Tamil Language,64/100,59/100
2024,Wong Yu Ting 184,Nanyang Primary School,P6-3,Foundation Chinese Language,62/100,67/100
2022,Suresh S/O Raj 970,CHIJ St Nicholas Girls’ School,P6-2,Tamil Language,64/100,60/100
2024,Ainul Zafira 912,St Joseph’s Institution Junior,P6-3,Higher Malay Language,68/100,63/100
2024,Tan Wei Ling 808,Raffles Girls' Primary School,P6-3,Chinese Language,71/100,71/100
2024,Suresh S/O Raj 631,Nan Hua Primary School,P6-1,Tamil Language,61/100,61/100
2022,Ainul Zafira 551,Yumin Primary School,P6-1,Malay Language,74/100,72/100
2023,Hafiz Bin Rahman 602,Maris Stella Primary School,P6-1,Malay Language,90/100,88/100
2024,Meena D/O Ravi 812,Temasek Primary School,P6-1,Tamil Language,95/100,99/100
2023,Goh Jun Wei 781,Raffles Girls' Primary School,P6-1,Chinese Language,88/100,86/100
2024,Vignesh S/O Rajan 348,Temasek Primary School,P6-1,Foundation Tamil Language,81/100,77/100
2024,Chua Kai Wen 853,Temasek Primary School,P6-1,Chinese Language,65/100,64/100
2024,Ahmad Hakim 233,Henry Park Primary School,P6-2,Foundation Malay Language,85/100,85/100
2022,Muhd Irfan 825,Pei Chun Public School,P6-1,Higher Malay Language,51/100,52/100
2024,Nurul Huda 154,Princess Elizabeth Primary School,P6-3,Higher Malay Language,57/100,61/100
2024,Hafiz Bin Rahman 614,Princess Elizabeth Primary School,P6-2,Higher Malay Language,72/100,69/100
2024,Chen Qi En 965,Anglo-Chinese School (Primary),P6-1,Foundation Chinese Language,88/100,87/100
2024,Sivakumar Raj 841,Princess Elizabeth Primary School,P6-1,Foundation Tamil Language,85/100,90/100
2023,Lakshmi D/O Kumar 443,Tao Nan School,P6-2,Foundation Tamil Language,64/100,63/100
2023,Imran Bin Azmi 580,Temasek Primary School,P6-2,Foundation Malay Language,50/100,54/100
2024,Chua Kai Wen 533,Pei Hwa Presbyterian Primary School,P6-2,Foundation Chinese Language,91/100,96/100
